date,name,point
0,2018-07-01,당갈,9.6
1,2018-07-01,아일라,9.55
2,2018-07-01,허스토리,9.55
3,2018-07-01,마지막 황제,9.23
4,2018-07-01,킹 오브 프리즘 프라이드 더 히어로,9.22
5,2018-07-01,사랑과 영혼,9.17
6,2018-07-01,댄서,9.11
7,2018-07-01,아바타,9.07
8,2018-07-01,개들의 섬,9.03
9,2018-07-01,아이 필 프리티,9.02
10,2018-07-01,바그다드 카페 : 디렉터스컷,9.01
11,2018-07-01,피터 래빗,8.97
12,2018-07-01,어벤져스: 인피니티 워,8.97
13,2018-07-01,미드나잇 선,8.95
14,2018-07-01,소공녀,8.86
15,2018-07-01,"스탠바이, 웬디",8.84
16,2018-07-01,아무도 모른다,8.83
17,2018-07-01,그렇게 아버지가 된다,8.83
18,2018-07-01,데드풀 2,8.77
19,2018-07-01,"부르고뉴, 와인에서 찾은 인생",8.74
20,2018-07-01,바닷마을 다이어리,8.74
21,2018-07-01,탐정: 리턴즈,8.67
22,2018-07-01,걸어도 걸어도,8.66
23,2018-07-01,진짜로 일어날지도 몰라 기적,8.64
24,2018-07-01,태풍이 지나가고,8.61
25,2018-07-01,시카리오: 데이 오브 솔다도,8.58
26,2018-07-01,"색, 계",8.52
27,2018-07-01,팬텀 스레드,8.44
28,2018-07-01,최강전사 미니특공대 : 영웅의 탄생,8.41
29,2018-07-01,셰이프 오브 워터: 사랑의 모양,8.39
30,2018-07-01,쥬라기 월드: 폴른 킹덤,8.2
31,2018-07-01,마녀,8.19
32,2018-07-01,나의 산티아고,8.13
33,2018-07-01,진주 귀걸이를 한 소녀,8.12
34,2018-07-01,환상의 빛,8.01
35,2018-07-01,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,7.99
36,2018-07-01,파리로 가는 길,7.91
37,2018-07-01,오션스8,7.9
38,2018-07-01,세 번째 살인,7.79
39,2018-07-01,독전,7.75
40,2018-07-01,최강전사 미니특공대 : 새로운 악당의 습격,7.56
41,2018-07-01,콜 미 바이 유어 네임,7.51
42,2018-07-01,트루스 오어 데어,7.42
43,2018-07-01,유전,7.25
44,2018-07-01,여중생A,7.07
45,2018-07-01,버닝,6.67
46,2018-07-01,게이트,3.75
47,2018-07-02,허스토리,9.52
48,2018-07-02,아일라,9.5
49,2018-07-02,마지막 황제,9.23
50,2018-07-02,킹 오브 프리즘 프라이드 더 히어로,9.22
51,2018-07-02,사랑과 영혼,9.17
52,2018-07-02,댄서,9.11
53,2018-07-02,개들의 섬,9.04
54,2018-07-02,바그다드 카페 : 디렉터스컷,9.01
55,2018-07-02,아이 필 프리티,9.01
56,2018-07-02,피터 래빗,8.97
57,2018-07-02,어벤져스: 인피니티 워,8.96
58,2018-07-02,미드나잇 선,8.94
59,2018-07-02,소공녀,8.86
60,2018-07-02,"스탠바이, 웬디",8.84
61,2018-07-02,아무도 모른다,8.83
62,2018-07-02,그렇게 아버지가 된다,8.83
63,2018-07-02,데드풀 2,8.77
64,2018-07-02,바닷마을 다이어리,8.74
65,2018-07-02,걸어도 걸어도,8.66
66,2018-07-02,탐정: 리턴즈,8.65
67,2018-07-02,진짜로 일어날지도 몰라 기적,8.64
68,2018-07-02,태풍이 지나가고,8.61
69,2018-07-02,시카리오: 데이 오브 솔다도,8.54
70,2018-07-02,"색, 계",8.52
71,2018-07-02,팬텀 스레드,8.41
72,2018-07-02,최강전사 미니특공대 : 영웅의 탄생,8.41
73,2018-07-02,셰이프 오브 워터: 사랑의 모양,8.39
74,2018-07-02,쥬라기 월드: 폴른 킹덤,8.2
75,2018-07-02,마녀,8.15
76,2018-07-02,나의 산티아고,8.13
77,2018-07-02,진주 귀걸이를 한 소녀,8.12
78,2018-07-02,환상의 빛,8.01
79,2018-07-02,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,8.0
80,2018-07-02,파리로 가는 길,7.91
81,2018-07-02,오션스8,7.89
82,2018-07-02,세 번째 살인,7.79
83,2018-07-02,독전,7.74
84,2018-07-02,최강전사 미니특공대 : 새로운 악당의 습격,7.56
85,2018-07-02,콜 미 바이 유어 네임,7.51
86,2018-07-02,트루스 오어 데어,7.41
87,2018-07-02,유전,7.26
88,2018-07-02,여중생A,7.04
89,2018-07-02,버닝,6.67
90,2018-07-02,레이디버그,6.0
91,2018-07-02,게이트,3.75
92,2018-07-03,당갈,9.6
93,2018-07-03,허스토리,9.52
94,2018-07-03,아일라,9.51
95,2018-07-03,마지막 황제,9.23
96,2018-07-03,킹 오브 프리즘 프라이드 더 히어로,9.22
97,2018-07-03,사랑과 영혼,9.17
98,2018-07-03,개들의 섬,9.01
99,2018-07-03,바그다드 카페 : 디렉터스컷,9.01
100,2018-07-03,아이 필 프리티,9.01
101,2018-07-03,피터 래빗,8.97
102,2018-07-03,어벤져스: 인피니티 워,8.96
103,2018-07-03,미드나잇 선,8.93
104,2018-07-03,소공녀,8.86
105,2018-07-03,"스탠바이, 웬디",8.84
106,2018-07-03,아무도 모른다,8.83
107,2018-07-03,그렇게 아버지가 된다,8.83
108,2018-07-03,데드풀 2,8.76
109,2018-07-03,"부르고뉴, 와인에서 찾은 인생",8.75
110,2018-07-03,바닷마을 다이어리,8.74
111,2018-07-03,걸어도 걸어도,8.66
112,2018-07-03,탐정: 리턴즈,8.64
113,2018-07-03,진짜로 일어날지도 몰라 기적,8.64
114,2018-07-03,태풍이 지나가고,8.61
115,2018-07-03,앤트맨,8.6
116,2018-07-03,시카리오: 데이 오브 솔다도,8.54
117,2018-07-03,"색, 계",8.52
118,2018-07-03,팬텀 스레드,8.42
119,2018-07-03,최강전사 미니특공대 : 영웅의 탄생,8.41
120,2018-07-03,셰이프 오브 워터: 사랑의 모양,8.39
121,2018-07-03,쥬라기 월드: 폴른 킹덤,8.19
122,2018-07-03,나의 산티아고,8.13
123,2018-07-03,마녀,8.12
124,2018-07-03,진주 귀걸이를 한 소녀,8.12
125,2018-07-03,환상의 빛,8.01
126,2018-07-03,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,7.99
127,2018-07-03,파리로 가는 길,7.91
128,2018-07-03,오션스8,7.87
129,2018-07-03,세 번째 살인,7.79
130,2018-07-03,독전,7.74
131,2018-07-03,최강전사 미니특공대 : 새로운 악당의 습격,7.56
132,2018-07-03,콜 미 바이 유어 네임,7.5
133,2018-07-03,트루스 오어 데어,7.42
134,2018-07-03,유전,7.26
135,2018-07-03,여중생A,6.99
136,2018-07-03,버닝,6.67
137,2018-07-03,레이디버그,6.0
138,2018-07-03,게이트,3.75
139,2018-07-04,아일라,9.55
140,2018-07-04,허스토리,9.49
141,2018-07-04,마지막 황제,9.23
142,2018-07-04,사랑과 영혼,9.17
143,2018-07-04,바그다드 카페 : 디렉터스컷,9.01
144,2018-07-04,아이 필 프리티,9.01
145,2018-07-04,개들의 섬,8.98
146,2018-07-04,피터 래빗,8.97
147,2018-07-04,어벤져스: 인피니티 워,8.96
148,2018-07-04,미드나잇 선,8.9
149,2018-07-04,소공녀,8.86
150,2018-07-04,"스탠바이, 웬디",8.85
151,2018-07-04,아무도 모른다,8.83
152,2018-07-04,그렇게 아버지가 된다,8.83
153,2018-07-04,데드풀 2,8.76
154,2018-07-04,"부르고뉴, 와인에서 찾은 인생",8.75
155,2018-07-04,바닷마을 다이어리,8.74
156,2018-07-04,앤트맨과 와스프,8.73
157,2018-07-04,걸어도 걸어도,8.66
158,2018-07-04,진짜로 일어날지도 몰라 기적,8.64
159,2018-07-04,탐정: 리턴즈,8.63
160,2018-07-04,태풍이 지나가고,8.61
161,2018-07-04,시카리오: 데이 오브 솔다도,8.55
162,2018-07-04,"색, 계",8.52
163,2018-07-04,팬텀 스레드,8.41
164,2018-07-04,최강전사 미니특공대 : 영웅의 탄생,8.41
165,2018-07-04,셰이프 오브 워터: 사랑의 모양,8.39
166,2018-07-04,쥬라기 월드: 폴른 킹덤,8.19
167,2018-07-04,나의 산티아고,8.13
168,2018-07-04,진주 귀걸이를 한 소녀,8.12
169,2018-07-04,마녀,8.1
170,2018-07-04,환상의 빛,8.01
171,2018-07-04,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,7.99
172,2018-07-04,파리로 가는 길,7.91
173,2018-07-04,오션스8,7.87
174,2018-07-04,세 번째 살인,7.79
175,2018-07-04,독전,7.73
176,2018-07-04,최강전사 미니특공대 : 새로운 악당의 습격,7.56
177,2018-07-04,콜 미 바이 유어 네임,7.51
178,2018-07-04,트루스 오어 데어,7.41
179,2018-07-04,유전,7.26
180,2018-07-04,여중생A,7.0
181,2018-07-04,버닝,6.67
182,2018-07-04,레이디버그,6.0
183,2018-07-05,아일라,9.55
184,2018-07-05,허스토리,9.49
185,2018-07-05,마지막 황제,9.23
186,2018-07-05,사랑과 영혼,9.17
187,2018-07-05,바그다드 카페 : 디렉터스컷,9.01
188,2018-07-05,아이 필 프리티,9.01
189,2018-07-05,개들의 섬,8.97
190,2018-07-05,피터 래빗,8.97
191,2018-07-05,어벤져스: 인피니티 워,8.96
192,2018-07-05,미드나잇 선,8.9
193,2018-07-05,소공녀,8.87
194,2018-07-05,"스탠바이, 웬디",8.85
195,2018-07-05,아무도 모른다,8.83
196,2018-07-05,그렇게 아버지가 된다,8.83
197,2018-07-05,앤트맨과 와스프,8.78
198,2018-07-05,데드풀 2,8.76
199,2018-07-05,"부르고뉴, 와인에서 찾은 인생",8.75
200,2018-07-05,바닷마을 다이어리,8.74
201,2018-07-05,걸어도 걸어도,8.66
202,2018-07-05,진짜로 일어날지도 몰라 기적,8.64
203,2018-07-05,탐정: 리턴즈,8.62
204,2018-07-05,태풍이 지나가고,8.61
205,2018-07-05,시카리오: 데이 오브 솔다도,8.57
206,2018-07-05,"색, 계",8.52
207,2018-07-05,팬텀 스레드,8.41
